,frameNumber,dateTime,lat,lon
0,1,2019-11-06 14:13:37.466,-34.593154,-58.484728
1,2,2019-11-06 14:13:37.500,-34.593154,-58.484728
2,3,2019-11-06 14:13:37.533,-34.593154,-58.484728
3,4,2019-11-06 14:13:37.567,-34.593154,-58.484728
4,5,2019-11-06 14:13:37.600,-34.593154,-58.484728
5,6,2019-11-06 14:13:37.633,-34.593154,-58.484728
6,7,2019-11-06 14:13:37.667,-34.593154,-58.484728
7,8,2019-11-06 14:13:37.700,-34.593154,-58.484728
8,9,2019-11-06 14:13:37.733,-34.593154,-58.484728
9,10,2019-11-06 14:13:37.767,-34.593154,-58.484728
10,11,2019-11-06 14:13:37.800,-34.593154,-58.484728
11,12,2019-11-06 14:13:37.834,-34.593154,-58.484728
12,13,2019-11-06 14:13:37.867,-34.593154,-58.484728
13,14,2019-11-06 14:13:37.900,-34.593154,-58.484728
14,15,2019-11-06 14:13:37.934,-34.593154,-58.484728
15,16,2019-11-06 14:13:37.967,-34.593154,-58.484728
16,17,2019-11-06 14:13:38.000,-34.593154,-58.484728
17,18,2019-11-06 14:13:38.034,-34.593154,-58.484728
18,19,2019-11-06 14:13:38.067,-34.593154,-58.484728
19,20,2019-11-06 14:13:38.100,-34.593154,-58.484728
20,21,2019-11-06 14:13:38.134,-34.593154,-58.484728
21,22,2019-11-06 14:13:38.167,-34.593154,-58.484728
22,23,2019-11-06 14:13:38.201,-34.593154,-58.484728
23,24,2019-11-06 14:13:38.234,-34.593154,-58.484728
24,25,2019-11-06 14:13:38.267,-34.593154,-58.484728
25,26,2019-11-06 14:13:38.301,-34.593154,-58.484728
26,27,2019-11-06 14:13:38.334,-34.593154,-58.484728
27,28,2019-11-06 14:13:38.367,-34.593154,-58.484728
28,29,2019-11-06 14:13:38.401,-34.593154,-58.484728
29,30,2019-11-06 14:13:38.434,-34.593154,-58.484728
30,31,2019-11-06 14:13:38.467,-34.593154,-58.484728
31,32,2019-11-06 14:13:38.501,-34.593154,-58.484728
32,33,2019-11-06 14:13:38.534,-34.593154,-58.484728
33,34,2019-11-06 14:13:38.568,-34.593154,-58.484728
34,35,2019-11-06 14:13:38.601,-34.593154,-58.484728
35,36,2019-11-06 14:13:38.634,-34.593154,-58.484728
36,37,2019-11-06 14:13:38.668,-34.593154,-58.484728
37,38,2019-11-06 14:13:38.701,-34.593154,-58.484728
38,39,2019-11-06 14:13:38.734,-34.593154,-58.484728
39,40,2019-11-06 14:13:38.768,-34.593154,-58.484729
40,41,2019-11-06 14:13:38.801,-34.593154,-58.484729
41,42,2019-11-06 14:13:38.835,-34.593154,-58.484729
42,43,2019-11-06 14:13:38.868,-34.593154,-58.484729
43,44,2019-11-06 14:13:38.901,-34.593154,-58.484729
44,45,2019-11-06 14:13:38.935,-34.593154,-58.484729
45,46,2019-11-06 14:13:38.968,-34.593154,-58.484729
46,47,2019-11-06 14:13:39.001,-34.593154,-58.484729
47,48,2019-11-06 14:13:39.035,-34.593154,-58.484729
48,49,2019-11-06 14:13:39.068,-34.593154,-58.484729
49,50,2019-11-06 14:13:39.101,-34.593154,-58.484729
50,51,2019-11-06 14:13:39.135,-34.593154,-58.484729
51,52,2019-11-06 14:13:39.168,-34.593154,-58.484729
52,53,2019-11-06 14:13:39.202,-34.593154,-58.484729
53,54,2019-11-06 14:13:39.235,-34.593154,-58.484729
54,55,2019-11-06 14:13:39.268,-34.593153,-58.484729
55,56,2019-11-06 14:13:39.302,-34.593153,-58.484729
56,57,2019-11-06 14:13:39.335,-34.593153,-58.484729
57,58,2019-11-06 14:13:39.368,-34.593153,-58.48473
58,59,2019-11-06 14:13:39.402,-34.593153,-58.48473
59,60,2019-11-06 14:13:39.435,-34.593153,-58.48473
60,61,2019-11-06 14:13:39.468,-34.593153,-58.484729
61,62,2019-11-06 14:13:39.502,-34.593153,-58.484729
62,63,2019-11-06 14:13:39.535,-34.593153,-58.484729
63,64,2019-11-06 14:13:39.569,-34.593152,-58.48473
64,65,2019-11-06 14:13:39.602,-34.593152,-58.48473
65,66,2019-11-06 14:13:39.635,-34.593152,-58.48473
66,67,2019-11-06 14:13:39.669,-34.593152,-58.48473
67,68,2019-11-06 14:13:39.702,-34.593152,-58.48473
68,69,2019-11-06 14:13:39.735,-34.593152,-58.48473
69,70,2019-11-06 14:13:39.769,-34.593152,-58.48473
70,71,2019-11-06 14:13:39.802,-34.593152,-58.48473
71,72,2019-11-06 14:13:39.836,-34.593152,-58.48473
72,73,2019-11-06 14:13:39.869,-34.593151,-58.48473
73,74,2019-11-06 14:13:39.902,-34.593151,-58.48473
74,75,2019-11-06 14:13:39.936,-34.593151,-58.48473
75,76,2019-11-06 14:13:39.969,-34.593151,-58.48473
76,77,2019-11-06 14:13:40.002,-34.593151,-58.48473
77,78,2019-11-06 14:13:40.036,-34.593151,-58.48473
78,79,2019-11-06 14:13:40.069,-34.59315,-58.48473
79,80,2019-11-06 14:13:40.102,-34.59315,-58.48473
80,81,2019-11-06 14:13:40.136,-34.59315,-58.48473
81,82,2019-11-06 14:13:40.169,-34.59315,-58.48473
82,83,2019-11-06 14:13:40.203,-34.59315,-58.48473
83,84,2019-11-06 14:13:40.236,-34.59315,-58.48473
84,85,2019-11-06 14:13:40.269,-34.593149,-58.48473
85,86,2019-11-06 14:13:40.303,-34.593149,-58.48473
86,87,2019-11-06 14:13:40.336,-34.593149,-58.48473
87,88,2019-11-06 14:13:40.369,-34.593149,-58.48473
88,89,2019-11-06 14:13:40.403,-34.593149,-58.48473
89,90,2019-11-06 14:13:40.436,-34.593149,-58.48473
90,91,2019-11-06 14:13:40.469,-34.593148,-58.48473
91,92,2019-11-06 14:13:40.503,-34.593148,-58.48473
92,93,2019-11-06 14:13:40.536,-34.593148,-58.48473
93,94,2019-11-06 14:13:40.570,-34.593148,-58.48473
94,95,2019-11-06 14:13:40.603,-34.593148,-58.48473
95,96,2019-11-06 14:13:40.636,-34.593148,-58.48473
96,97,2019-11-06 14:13:40.670,-34.593147,-58.48473
97,98,2019-11-06 14:13:40.703,-34.593147,-58.48473
98,99,2019-11-06 14:13:40.736,-34.593147,-58.48473
99,100,2019-11-06 14:13:40.770,-34.593146,-58.48473
100,101,2019-11-06 14:13:40.803,-34.593146,-58.48473
101,102,2019-11-06 14:13:40.837,-34.593146,-58.48473
102,103,2019-11-06 14:13:40.870,-34.593146,-58.48473
103,104,2019-11-06 14:13:40.903,-34.593146,-58.48473
104,105,2019-11-06 14:13:40.937,-34.593146,-58.48473
105,106,2019-11-06 14:13:40.970,-34.593145,-58.48473
106,107,2019-11-06 14:13:41.003,-34.593145,-58.48473
107,108,2019-11-06 14:13:41.037,-34.593145,-58.48473
108,109,2019-11-06 14:13:41.070,-34.593145,-58.48473
109,110,2019-11-06 14:13:41.103,-34.593145,-58.48473
110,111,2019-11-06 14:13:41.137,-34.593145,-58.48473
111,112,2019-11-06 14:13:41.170,-34.593144,-58.48473
112,113,2019-11-06 14:13:41.204,-34.593144,-58.48473
113,114,2019-11-06 14:13:41.237,-34.593144,-58.48473
114,115,2019-11-06 14:13:41.270,-34.593143,-58.48473
115,116,2019-11-06 14:13:41.304,-34.593143,-58.48473
116,117,2019-11-06 14:13:41.337,-34.593143,-58.48473
117,118,2019-11-06 14:13:41.370,-34.593142,-58.48473
118,119,2019-11-06 14:13:41.404,-34.593142,-58.48473
119,120,2019-11-06 14:13:41.437,-34.593142,-58.48473
120,121,2019-11-06 14:13:41.470,-34.593141,-58.484731
121,122,2019-11-06 14:13:41.504,-34.593141,-58.484731
122,123,2019-11-06 14:13:41.537,-34.593141,-58.484731
123,124,2019-11-06 14:13:41.571,-34.593141,-58.484731
124,125,2019-11-06 14:13:41.604,-34.593141,-58.484731
125,126,2019-11-06 14:13:41.637,-34.593141,-58.484731
126,127,2019-11-06 14:13:41.671,-34.59314,-58.484731
127,128,2019-11-06 14:13:41.704,-34.59314,-58.484731
128,129,2019-11-06 14:13:41.737,-34.59314,-58.484731
129,130,2019-11-06 14:13:41.771,-34.593139,-58.484731
130,131,2019-11-06 14:13:41.804,-34.593139,-58.484731
131,132,2019-11-06 14:13:41.838,-34.593139,-58.484731
132,133,2019-11-06 14:13:41.871,-34.593139,-58.484731
133,134,2019-11-06 14:13:41.904,-34.593139,-58.484731
134,135,2019-11-06 14:13:41.938,-34.593139,-58.484731
135,136,2019-11-06 14:13:41.971,-34.593138,-58.484731
136,137,2019-11-06 14:13:42.004,-34.593138,-58.484731
137,138,2019-11-06 14:13:42.038,-34.593138,-58.484731
138,139,2019-11-06 14:13:42.071,-34.593137,-58.484731
139,140,2019-11-06 14:13:42.104,-34.593137,-58.484731
140,141,2019-11-06 14:13:42.138,-34.593137,-58.484731
141,142,2019-11-06 14:13:42.171,-34.593136,-58.484731
142,143,2019-11-06 14:13:42.205,-34.593136,-58.484731
143,144,2019-11-06 14:13:42.238,-34.593136,-58.484731
144,145,2019-11-06 14:13:42.271,-34.593135,-58.484731
145,146,2019-11-06 14:13:42.305,-34.593135,-58.484731
146,147,2019-11-06 14:13:42.338,-34.593135,-58.484731
147,148,2019-11-06 14:13:42.371,-34.593135,-58.484731
148,149,2019-11-06 14:13:42.405,-34.593135,-58.484731
149,150,2019-11-06 14:13:42.438,-34.593135,-58.484731
150,151,2019-11-06 14:13:42.471,-34.593134,-58.484731
151,152,2019-11-06 14:13:42.505,-34.593134,-58.484731
152,153,2019-11-06 14:13:42.538,-34.593134,-58.484731
